source,TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk_1,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,X54
disgust.F,0.76,0,138.8077,no,unknown,unknown,unknown,Unknown,16.6861,-2.4137,-6.7881,0.0015,0.0119,2.0695,0.9653,6e-4,0.4445,0.2055,-16.2676,0.4128,2e-4,51.728,0.1526,3.4542,17.5953,1e-4,0.0055,5.6042,0.0345,0.0179,0.0372,0.0062,3e-4,0,98.0493,0.0058,0.171,3.5926,0.0019,0.0017,0.1626,0.0017,5e-4,5e-4,0.0018,0.0018,6e-4,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,0.8,0,137.6732,no,unknown,unknown,unknown,Unknown,17.5324,-1.6274,-6.5707,0.0015,0.0118,1.9707,0.9341,6e-4,0.4537,0.2041,-15.9096,0.4048,2e-4,51.6426,0.1553,3.0883,17.0462,1e-4,0.006,5.8785,0.0347,0.0197,0.0422,0.006,3e-4,0,98.3284,0.005,0.1386,3.3223,0.002,0.0016,0.1745,0.0017,5e-4,5e-4,0.0018,0.0018,6e-4,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,0.84,0,137.5891,no,unknown,unknown,unknown,Unknown,16.5257,-2.648,-5.7459,0.0015,0.0115,2.0717,0.8586,6e-4,0.4397,0.2044,-15.8489,0.4257,2e-4,50.2898,0.1457,3.1559,17.6094,1e-4,0.0062,6.0212,0.0353,0.0202,0.0505,0.0059,3e-4,0,97.9576,0.0055,0.125,3.1511,0.0024,0.0016,0.181,0.0017,5e-4,5e-4,0.0018,0.0018,6e-4,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,0.88,0,137.5642,no,unknown,unknown,unknown,Unknown,17.758,-1.7933,-7.0216,0.0015,0.0113,2.1658,0.7815,6e-4,0.4253,0.2046,-15.7442,0.449,1e-4,48.7963,0.1417,3.2165,18.1293,1e-4,0.0066,6.251,0.0369,0.0241,0.0454,0.0059,3e-4,0,98.273,0.0042,0.1004,2.9728,0.0026,0.0015,0.1921,0.0017,5e-4,5e-4,0.0018,0.0018,6e-4,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,0.92,0,136.6372,no,unknown,unknown,unknown,Unknown,16.826,-2.1067,-6.4717,0.0015,0.0114,2.2695,0.8007,6e-4,0.4227,0.2053,-16.2646,0.4745,1e-4,48.9775,0.1451,3.3829,18.6619,1e-4,0.0069,6.4964,0.0374,0.0197,0.0473,0.006,3e-4,0,98.1633,0.004,0.0754,2.786,0.0029,0.0015,0.1945,0.0017,5e-4,5e-4,0.0018,0.0018,6e-4,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,0.96,0,137.3454,no,unknown,unknown,unknown,Unknown,17.0775,-1.5641,-7.1442,0.0014,0.0115,2.6484,0.8283,7e-4,0.4163,0.2065,-17.897,0.5908,1e-4,49.1401,0.145,3.6926,20.4195,1e-4,0.0078,7.8241,0.0358,0.0147,0.0467,0.0059,3e-4,0,98.3491,0.0046,0.0612,2.8652,0.0031,0.0014,0.195,0.0017,5e-4,5e-4,0.0018,0.0018,7e-4,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,1,0,136.8604,no,unknown,unknown,unknown,Unknown,16.9358,-1.6116,-7.0008,0.0014,0.0112,3.4625,0.7472,7e-4,0.4041,0.2064,-19.2353,0.7519,1e-4,47.5949,0.148,3.6788,23.5033,1e-4,0.0076,8.1375,0.0377,0.0105,0.0399,0.006,3e-4,0,98.3336,0.0042,0.0557,2.8167,0.0029,0.0013,0.2063,0.0017,5e-4,5e-4,0.0018,0.0018,7e-4,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,1.04,0,136.827,no,unknown,unknown,unknown,Unknown,17.1667,-1.3801,-6.9136,0.0014,0.0118,4.2923,0.898,7e-4,0.4243,0.2067,-22.0236,0.9759,1e-4,50.2846,0.1472,3.7601,25.9868,1e-4,0.0075,9.3366,0.0364,0.0086,0.0406,0.0059,3e-4,0,98.4077,0.0047,0.0581,2.9939,0.003,0.0013,0.2096,0.0017,5e-4,5e-4,0.0018,0.0018,7e-4,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,1.08,0,137.6556,no,unknown,unknown,unknown,Unknown,16.9058,-1.2602,-6.4501,0.0015,0.0122,4.1539,1.0519,6e-4,0.4616,0.205,-22.289,0.8823,0,53.1751,0.1548,3.3244,25.5983,1e-4,0.0073,8.2998,0.0335,0.0086,0.0454,0.0057,3e-4,0,98.4449,0.0054,0.0604,2.9265,0.0037,0.0014,0.2166,0.0017,5e-4,5e-4,0.0018,0.0018,6e-4,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,1.12,0,136.6347,no,unknown,unknown,unknown,Unknown,16.7375,-1.6495,-6.9291,0.0015,0.0121,3.7137,1.0434,5e-4,0.4719,0.204,-21.1673,0.7497,0,53.3799,0.174,3.0392,24.295,1e-4,0.0064,7.304,0.0324,0.0071,0.0479,0.0052,3e-4,0,98.3211,0.0055,0.0689,3.016,0.0039,0.0013,0.2239,0.0017,4e-4,4e-4,0.0018,0.0018,5e-4,0,0.0018,2.2978,2.2978,0.0018,0.0281,NA
disgust.F,1.16,0,137.2358,no,unknown,unknown,unknown,Unknown,18.3297,-1.9332,-7.2475,0.0015,0.0125,4.3285,1.2,5e-4,0.4857,0.2046,-23.1677,0.8976,0,55.3137,0.1718,3.2098,26.0421,1e-4,0.0057,8.0987,0.0352,0.0073,0.0661,0.0055,3e-4,0,98.2248,0.0046,0.0789,3.0027,0.005,0.0013,0.2583,0.0017,4e-4,4e-4,0.0018,0.0018,5e-4,0,0.0018,2.2978,2.2978,0.0018,0.0282,NA
disgust.F,1.2,0,137.1935,no,unknown,unknown,unknown,Unknown,17.3028,-2.1625,-6.8744,0.0014,0.0128,5.2417,1.2825,5e-4,0.4827,0.2059,-24.8868,1.0747,0,55.9554,0.1732,3.5381,28.2574,1e-4,0.0056,8.4301,0.0354,0.0089,0.069,0.0056,3e-4,0,98.1431,0.0044,0.0795,3.3016,0.0052,0.0012,0.2785,0.0016,4e-4,4e-4,0.0018,0.0018,5e-4,0,0.0018,2.2978,2.2978,0.0018,0.0282,NA
disgust.F,1.24,0,136.9998,no,unknown,unknown,unknown,Unknown,17.6899,-1.0139,-6.8078,0.0014,0.0133,5.6116,1.4068,6e-4,0.4624,0.2092,-25.668,1.1075,0,56.3956,0.1606,4.3952,29.0401,1e-4,0.0053,8.0728,0.0385,0.017,0.0733,0.0057,3e-4,0,98.5185,0.0044,0.0686,3.6083,0.0063,0.0013,0.2833,0.0016,4e-4,4e-4,0.0018,0.0018,6e-4,0,0.0018,2.2978,2.2978,0.0018,0.0282,NA
disgust.F,1.28,0,137.5777,no,unknown,unknown,unknown,Unknown,17.6731,-0.9613,-6.4841,0.0013,0.0136,6.6021,1.4935,6e-4,0.4413,0.2123,-26.3675,1.1009,0,56.4279,0.1487,5.177,30.9816,1e-4,0.0052,6.0462,0.0384,0.0202,0.0936,0.0053,3e-4,0,98.5338,0.0039,0.0788,3.8308,0.0077,0.0013,0.2851,0.0016,4e-4,4e-4,0.0018,0.0018,6e-4,0,0.0018,2.2978,2.2978,0.0018,0.0282,NA
disgust.F,1.32,0,137.4999,no,unknown,unknown,unknown,Unknown,16.1745,-0.4753,-6.8084,0.0013,0.0132,7.5825,1.3019,6e-4,0.4097,0.2138,-26.1861,1.1401,0,53.8947,0.1376,5.5696,32.6396,1e-4,0.0047,4.8844,0.0329,0.0206,0.0974,0.0052,3e-4,0,98.6678,0.0035,0.0721,4.0393,0.0075,0.0012,0.2932,0.0016,3e-4,3e-4,0.0018,0.0018,6e-4,0,0.0018,2.2978,2.2978,0.0018,0.0282,NA
disgust.F,1.36,0,137.2714,no,unknown,unknown,unknown,Unknown,17.1809,-1.2054,-7.2943,0.0013,0.0126,13.2232,1.0905,7e-4,0.3914,0.2135,-29.1535,1.8286,0,51.3074,0.1434,5.4813,39.5151,1e-4,0.0042,4.7204,0.0293,0.0299,0.0938,0.005,3e-4,0,98.4616,0.003,0.0714,4.1509,0.0074,0.0012,0.3098,0.0016,3e-4,3e-4,0.0018,0.0018,7e-4,0,0.0018,2.2978,2.2978,0.0018,0.0282,NA
disgust.F,1.4,0,136.8257,no,unknown,unknown,unknown,Unknown,14.9532,-0.2615,-6.983,0.0012,0.0135,17.8463,1.3367,7e-4,0.3803,0.218,-32.7468,2.5547,1e-4,53.1642,0.1482,6.593,43.4956,1e-4,0.0037,5.5256,0.0234,0.0461,0.1357,0.0057,2e-4,0,98.7229,0.003,0.0865,4.1402,0.0085,0.0016,0.3323,0.0016,3e-4,3e-4,0.0018,0.0018,7e-4,0,0.0018,2.2978,2.2978,0.0018,0.0282,NA
disgust.F,1.44,0,137.6169,no,unknown,unknown,unknown,Unknown,16.7813,-0.0246,-7.5427,0.0011,0.0138,23.2536,1.3825,8e-4,0.357,0.2217,-35.1843,3.4177,1e-4,52.6721,0.1482,7.4908,47.2003,1e-4,0.0033,6.0197,0.0201,0.0614,0.1405,0.0064,2e-4,0,98.7813,0.0022,0.0926,4.3755,0.0087,0.0019,0.3384,0.0016,3e-4,3e-4,0.0018,0.0018,8e-4,0,0.0018,2.2978,2.2978,0.0018,0.0282,NA
disgust.F,1.48,0,135.2269,no,unknown,unknown,unknown,Unknown,15.456,-0.9796,-7.4724,0.001,0.0145,37.6944,1.5335,9e-4,0.3176,0.2293,-40.0449,5.7643,1e-4,52.2218,0.1498,9.3001,54.8634,1e-4,0.0032,6.0189,0.0164,0.0751,0.1544,0.0061,2e-4,0,98.5285,0.0022,0.1144,4.6034,0.0087,0.0026,0.351,0.0016,3e-4,3e-4,0.0018,0.0018,9e-4,0,0.0018,2.2978,2.2978,0.0018,0.0282,NA
disgust.F,1.52,0,136.8197,no,unknown,unknown,unknown,Unknown,16.0702,-0.4747,-7.7432,9e-4,0.015,51.1804,1.5947,0.0011,0.2825,0.2362,-43.7625,8.6992,2e-4,51.0523,0.1602,10.8888,61.0213,1e-4,0.0027,6.0657,0.0125,0.0824,0.2167,0.0062,1e-4,0,98.668,0.0023,0.1083,4.6896,0.0097,0.0033,0.3757,0.0016,2e-4,2e-4,0.0018,0.0018,0.0011,0,0.0018,2.2978,2.2978,0.0018,0.0282,NA
disgust.F,1.56,0,136.5802,no,unknown,unknown,unknown,Unknown,15.5515,-1.3576,-7.2633,7e-4,0.0162,68.8284,1.8233,0.0014,0.2362,0.2484,-49.0543,14.4948,3e-4,50.1017,0.1694,13.5728,69.2917,1e-4,0.0025,5.8613,0.01,0.1343,0.2494,0.0063,1e-4,0,98.4148,0.0019,0.1195,4.6842,0.0118,0.0045,0.3862,0.0015,2e-4,2e-4,0.0018,0.0018,0.0014,0,0.0018,2.2978,2.2978,0.0018,0.0282,NA
disgust.F,1.6,0,136.2169,no,unknown,unknown,unknown,Unknown,16.1829,-1.2998,-7.4273,6e-4,0.0174,76.0348,2.0725,0.0019,0.1961,0.2614,-52.2767,19.5356,6e-4,48.9889,0.1691,16.3116,73.3087,1e-4,0.0022,6.8732,0.0079,0.1574,0.2608,0.0063,2e-4,0,98.4327,0.0014,0.119,4.7501,0.0119,0.0063,0.4052,0.0015,2e-4,2e-4,0.0018,0.0018,0.0019,0,0.0018,2.2978,2.2978,0.0018,0.0282,NA
disgust.F,1.64,0,137.5574,no,unknown,unknown,unknown,Unknown,16.3156,-0.8901,-7.152,5e-4,0.0192,84.9942,2.5925,0.0025,0.1638,0.2766,-57.2472,28.6481,0.001,49.037,0.1645,19.3293,79.7557,1e-4,0.0021,7.4688,0.0066,0.155,0.2877,0.007,3e-4,0,98.5542,0.0013,0.1051,4.6255,0.0126,0.0086,0.3967,0.0015,2e-4,2e-4,0.0018,0.0018,0.0025,0,0.0018,2.2978,2.2978,0.0018,0.0282,NA
disgust.F,1.68,0,135.3135,no,unknown,unknown,unknown,Unknown,16.1273,-2.1555,-6.4647,6e-4,0.0162,90.7943,1.4154,0.003,0.149,0.271,-57.6711,38.5065,0.0018,41.0157,0.1753,18.2405,85.8964,1e-4,0.0019,7.5501,0.0055,0.1922,0.2801,0.0071,5e-4,0,98.1456,9e-4,0.1054,5.7016,0.0141,0.0129,0.3779,0.0015,2e-4,2e-4,0.0018,0.0018,0.003,0,0.0018,2.2978,2.2978,0.0018,0.0283,NA
disgust.F,1.72,0,137.2239,no,unknown,unknown,unknown,Unknown,16.3064,-2.1987,-7.3646,5e-4,0.0144,93.8356,0.868,0.0041,0.1234,0.2735,-57.9308,47.0416,0.0031,33.0728,0.1743,18.7313,90.6956,1e-4,0.0019,7.6458,0.004,0.2223,0.3536,0.0073,8e-4,0.0018,98.1298,7e-4,0.0952,7.2001,0.0161,0.0185,0.3673,0.0014,2e-4,2e-4,0.0018,0.0018,0.0041,0,0.0018,2.2978,2.2978,0.0018,0.0283,NA
disgust.F,1.76,0,136.0365,no,unknown,unknown,unknown,Unknown,15.8224,-2.338,-7.8004,6e-4,0.0126,95.3617,0.5341,0.0048,0.1166,0.268,-57.958,55.9523,0.0058,26.9771,0.1835,17.6518,93.9938,1e-4,0.0018,9.3553,0.0029,0.2643,0.3869,0.0073,0.0013,0.0047,98.078,5e-4,0.109,9.3274,0.016,0.0255,0.3534,0.0014,2e-4,2e-4,0.0018,0.0018,0.0048,0,0.0019,2.2978,2.2978,0.0018,0.0283,NA
disgust.F,1.8,0,135.6678,no,unknown,unknown,unknown,Unknown,15.9831,-2.4867,-8.0203,7e-4,0.0119,95.6568,0.4841,0.0045,0.1359,0.2571,-59.569,64.9922,0.0124,28.0058,0.1912,15.4487,94.7589,1e-4,0.0015,13.9028,0.0023,0.318,0.4168,0.0072,0.0024,0,98.0211,5e-4,0.1289,11.0114,0.0155,0.0373,0.3635,0.0014,1e-4,1e-4,0.0018,0.0018,0.0045,0,0.0019,2.2978,2.2978,0.0018,0.0283,NA
disgust.F,1.84,0,136.6599,no,unknown,unknown,unknown,Unknown,16.2639,-2.0816,-7.6552,7e-4,0.0113,96.1692,0.4401,0.0042,0.1524,0.2488,-60.9082,71.5449,0.0214,28.536,0.217,13.727,96.1658,1e-4,0.0013,16.7422,0.0019,0.3565,0.4278,0.0067,0.0044,0,98.1723,5e-4,0.2184,11.9664,0.0167,0.0488,0.3438,0.0014,1e-4,1e-4,0.0018,0.0018,0.0042,0,0.0019,2.2978,2.2978,0.0018,0.0283,NA
disgust.F,1.88,0,136.4064,no,unknown,unknown,unknown,Unknown,16.9262,-1.9375,-7.9393,7e-4,0.0114,96.3886,0.4614,0.0045,0.1564,0.248,-62.6112,76.8638,0.0349,29.4252,0.2276,13.5962,96.8149,0,0.0013,19.994,0.0017,0.3357,0.4964,0.0063,0.0078,0,98.2233,4e-4,0.3269,13.1494,0.0157,0.0693,0.3544,0.0013,1e-4,1e-4,0.0018,0.0018,0.0045,0,0.0019,2.2978,2.2978,0.0018,0.0283,NA
disgust.F,1.92,0,138.5949,no,unknown,unknown,unknown,Unknown,16.3647,-1.4839,-7.7784,9e-4,0.01,96.4597,0.3149,0.0036,0.1719,0.2364,-59.5964,72.5886,0.0449,26.4937,0.2256,11.0398,96.988,0,0.0011,16.6459,0.0014,0.2324,0.3446,0.0056,0.0126,0,98.3749,4e-4,0.2719,13.9342,0.0132,0.0804,0.3351,0.0013,1e-4,1e-4,0.0018,0.0018,0.0036,0,0.0019,2.2978,2.2978,0.0018,0.0283,NA
disgust.F,1.96,0,138.3533,no,unknown,unknown,unknown,Unknown,15.8678,-1.9383,-7.572,0.001,0.0096,96.1362,0.2807,0.0035,0.1817,0.2318,-59.0854,73.8673,0.0427,25.9642,0.2251,9.9477,95.9466,1e-4,0.0011,18.6006,0.0014,0.1529,0.3294,0.0051,0.017,0,98.223,4e-4,0.2686,14.1064,0.012,0.097,0.3758,0.0013,1e-4,1e-4,0.0018,0.0018,0.0035,0,0.002,2.2978,2.2978,0.0018,0.0283,NA
disgust.F,2,0,137.7334,no,unknown,unknown,unknown,Unknown,17.1248,-2.0874,-8.7342,0.001,0.0093,95.1871,0.2639,0.0034,0.1951,0.2272,-57.9486,72.7959,0.04,26.2499,0.2033,8.8456,93.3747,0,0.0011,20.4054,0.0014,0.0986,0.3112,0.0048,0.0226,0,98.1703,3e-4,0.2255,13.8748,0.0117,0.1107,0.3937,0.0013,1e-4,1e-4,0.0018,0.0018,0.0034,0,0.002,2.2978,2.2978,0.0018,0.0283,NA
disgust.F,2.04,0,139.7051,no,unknown,unknown,unknown,Unknown,17.4076,-1.4218,-8.5916,0.0011,0.0088,91.4828,0.2329,0.0034,0.2128,0.2211,-54.7216,68.0398,0.0253,26.0736,0.1579,7.2935,86.6187,0,0.0014,23.9597,0.0016,0.0925,0.2868,0.004,0.028,0,98.3947,2e-4,0.1991,14.1343,0.0178,0.1452,0.396,0.0013,1e-4,1e-4,0.0018,0.0018,0.0034,0,0.002,2.2978,2.2978,0.0018,0.0283,NA
disgust.F,2.08,0,139.5078,no,unknown,unknown,unknown,Unknown,17.9986,-3.046,-6.9928,0.0013,0.0085,62.7116,0.2182,0.0032,0.2385,0.2146,-43.8126,38.0812,0.0136,26.9371,0.1175,5.6425,66.0645,0,0.0016,27.13,0.0016,0.1522,0.272,0.0031,0.0285,0,97.7921,2e-4,0.1383,13.9703,0.03,0.1749,0.3781,0.0013,1e-4,1e-4,0.0018,0.0018,0.0032,0,0.002,2.2978,2.2978,0.0018,0.0283,NA
disgust.F,2.12,0,140.9432,no,unknown,unknown,unknown,Unknown,16.8369,-2.678,-7.4596,0.0013,0.0083,7.5987,0.2069,0.003,0.256,0.2105,-25.1252,5.805,0.0055,27.4398,0.1031,4.6036,32.6177,0,0.0022,28.3693,0.0019,0.7749,0.2522,0.0023,0.0252,0,97.9455,1e-4,0.0692,12.9814,0.0686,0.2402,0.3441,0.0013,1e-4,1e-4,0.0018,0.0018,0.003,0,0.002,2.2978,2.2978,0.0018,0.0283,NA
